Vulnerability ID        Package                                     Severity          Fix                        CVE Refs              Vulnerability URL                                                 Type        Feed Group        Package Path        
CVE-2014-6271           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u1        CVE-2014-6271         https://security-tracker.debian.org/tracker/CVE-2014-6271         dpkg        debian:7          pkgdb               
CVE-2014-6277           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u3        CVE-2014-6277         https://security-tracker.debian.org/tracker/CVE-2014-6277         dpkg        debian:7          pkgdb               
CVE-2014-6278           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u3        CVE-2014-6278         https://security-tracker.debian.org/tracker/CVE-2014-6278         dpkg        debian:7          pkgdb               
CVE-2014-7169           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u3        CVE-2014-7169         https://security-tracker.debian.org/tracker/CVE-2014-7169         dpkg        debian:7          pkgdb               
CVE-2014-7186           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u3        CVE-2014-7186         https://security-tracker.debian.org/tracker/CVE-2014-7186         dpkg        debian:7          pkgdb               
CVE-2014-7187           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u3        CVE-2014-7187         https://security-tracker.debian.org/tracker/CVE-2014-7187         dpkg        debian:7          pkgdb               
CVE-2016-7543           bash-4.2+dfsg-0.1                           High              4.2+dfsg-0.1+deb7u4        CVE-2016-7543         https://security-tracker.debian.org/tracker/CVE-2016-7543         dpkg        debian:7          pkgdb               
CVE-2018-6913           perl-5.14.2-21+deb7u5                       High              5.14.2-21+deb7u6           CVE-2018-6913         https://security-tracker.debian.org/tracker/CVE-2018-6913         dpkg        debian:7          pkgdb               
CVE-2018-6913           perl-base-5.14.2-21+deb7u5                  High              5.14.2-21+deb7u6           CVE-2018-6913         https://security-tracker.debian.org/tracker/CVE-2018-6913         dpkg        debian:7          pkgdb               
CVE-2018-6913           perl-modules-5.14.2-21+deb7u5               High              5.14.2-21+deb7u6           CVE-2018-6913         https://security-tracker.debian.org/tracker/CVE-2018-6913         dpkg        debian:7          pkgdb               
CVE-2017-12613          libapr1-1.4.6-3+deb7u1                      Low               1.4.6-3+deb7u2             CVE-2017-12613        https://security-tracker.debian.org/tracker/CVE-2017-12613        dpkg        debian:7          pkgdb               
CVE-2017-12618          libaprutil1-1.4.1-3                         Low               1.4.1-3+deb7u1             CVE-2017-12618        https://security-tracker.debian.org/tracker/CVE-2017-12618        dpkg        debian:7          pkgdb               
CVE-2017-12618          libaprutil1-dbd-sqlite3-1.4.1-3             Low               1.4.1-3+deb7u1             CVE-2017-12618        https://security-tracker.debian.org/tracker/CVE-2017-12618        dpkg        debian:7          pkgdb               
CVE-2017-12618          libaprutil1-ldap-1.4.1-3                    Low               1.4.1-3+deb7u1             CVE-2017-12618        https://security-tracker.debian.org/tracker/CVE-2017-12618        dpkg        debian:7          pkgdb               
CVE-2011-3389           libgnutls26-2.12.20-8+deb7u5                Medium            None                       CVE-2011-3389         https://security-tracker.debian.org/tracker/CVE-2011-3389         dpkg        debian:7          pkgdb               
CVE-2017-15710          apache2-2.2.22-13+deb7u12                   Medium            2.2.22-13+deb7u13          CVE-2017-15710        https://security-tracker.debian.org/tracker/CVE-2017-15710        dpkg        debian:7          pkgdb               
CVE-2017-15710          apache2-mpm-worker-2.2.22-13+deb7u12        Medium            2.2.22-13+deb7u13          CVE-2017-15710        https://security-tracker.debian.org/tracker/CVE-2017-15710        dpkg        debian:7          pkgdb               
CVE-2017-15710          apache2-utils-2.2.22-13+deb7u12             Medium            2.2.22-13+deb7u13          CVE-2017-15710        https://security-tracker.debian.org/tracker/CVE-2017-15710        dpkg        debian:7          pkgdb               
CVE-2017-15710          apache2.2-bin-2.2.22-13+deb7u12             Medium            2.2.22-13+deb7u13          CVE-2017-15710        https://security-tracker.debian.org/tracker/CVE-2017-15710        dpkg        debian:7          pkgdb               
CVE-2017-15710          apache2.2-common-2.2.22-13+deb7u12          Medium            2.2.22-13+deb7u13          CVE-2017-15710        https://security-tracker.debian.org/tracker/CVE-2017-15710        dpkg        debian:7          pkgdb               
CVE-2017-17512          sensible-utils-0.0.7                        Medium            0.0.7+deb7u1               CVE-2017-17512        https://security-tracker.debian.org/tracker/CVE-2017-17512        dpkg        debian:7          pkgdb               
CVE-2017-3735           libssl1.0.0-1.0.1t-1+deb7u2                 Medium            1.0.1t-1+deb7u3            CVE-2017-3735         https://security-tracker.debian.org/tracker/CVE-2017-3735         dpkg        debian:7          pkgdb               
CVE-2017-3735           openssl-1.0.1t-1+deb7u2                     Medium            1.0.1t-1+deb7u3            CVE-2017-3735         https://security-tracker.debian.org/tracker/CVE-2017-3735         dpkg        debian:7          pkgdb               
CVE-2018-0739           libssl1.0.0-1.0.1t-1+deb7u2                 Medium            1.0.1t-1+deb7u4            CVE-2018-0739         https://security-tracker.debian.org/tracker/CVE-2018-0739         dpkg        debian:7          pkgdb               
CVE-2018-0739           openssl-1.0.1t-1+deb7u2                     Medium            1.0.1t-1+deb7u4            CVE-2018-0739         https://security-tracker.debian.org/tracker/CVE-2018-0739         dpkg        debian:7          pkgdb               
CVE-2018-1301           apache2-2.2.22-13+deb7u12                   Medium            2.2.22-13+deb7u13          CVE-2018-1301         https://security-tracker.debian.org/tracker/CVE-2018-1301         dpkg        debian:7          pkgdb               
CVE-2018-1301           apache2-mpm-worker-2.2.22-13+deb7u12        Medium            2.2.22-13+deb7u13          CVE-2018-1301         https://security-tracker.debian.org/tracker/CVE-2018-1301         dpkg        debian:7          pkgdb               
CVE-2018-1301           apache2-utils-2.2.22-13+deb7u12             Medium            2.2.22-13+deb7u13          CVE-2018-1301         https://security-tracker.debian.org/tracker/CVE-2018-1301         dpkg        debian:7          pkgdb               
CVE-2018-1301           apache2.2-bin-2.2.22-13+deb7u12             Medium            2.2.22-13+deb7u13          CVE-2018-1301         https://security-tracker.debian.org/tracker/CVE-2018-1301         dpkg        debian:7          pkgdb               
CVE-2018-1301           apache2.2-common-2.2.22-13+deb7u12          Medium            2.2.22-13+deb7u13          CVE-2018-1301         https://security-tracker.debian.org/tracker/CVE-2018-1301         dpkg        debian:7          pkgdb               
CVE-2018-1312           apache2-2.2.22-13+deb7u12                   Medium            2.2.22-13+deb7u13          CVE-2018-1312         https://security-tracker.debian.org/tracker/CVE-2018-1312         dpkg        debian:7          pkgdb               
